IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.89.91.99,443,443,true,LHR,Europe,GB,London,242,8.42
34.69.150.180,443,443,true,ORD,North America,US,Chicago,298,8.40
34.89.91.99,443,443,true,LHR,Europe,GB,London,173,8.30
34.105.189.25,443,443,true,LHR,Europe,GB,London,494,8.25
34.70.91.86,443,443,true,ORD,North America,US,Chicago,408,8.22
34.105.233.161,443,443,true,LHR,Europe,GB,London,304,8.16
34.66.72.229,443,443,true,ORD,North America,US,Chicago,331,7.86
35.204.231.100,443,443,true,AMS,Europe,NL,Amsterdam,340,7.82
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,499,6.15
34.89.30.78,443,443,true,LHR,Europe,GB,London,191,5.30
35.246.97.251,443,443,true,LHR,Europe,GB,London,270,4.93
34.105.189.25,443,443,true,LHR,Europe,GB,London,318,4.69
34.105.233.161,443,443,true,LHR,Europe,GB,London,300,4.37
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,292,0.46
35.187.229.127,80,8080,false,SIN,Asia Pacific,SG,Singapore,4,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,21,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,46,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,65,0.00
34.131.59.243,443,80,false,DEL,Asia Pacific,IN,New Delhi,67,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,70,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,116,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,116,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,116,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,SG,Singapore,117,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,123,0.00
34.111.103.7,80,80,false,SIN,Asia Pacific,SG,Singapore,124,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,124,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,126,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,129,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,130,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,142,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,148,0.00
34.49.82.120,80,80,false,SIN,Asia Pacific,SG,Singapore,148,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,148,0.00
34.54.241.45,80,80,false,SIN,Asia Pacific,SG,Singapore,153,0.00
34.19.114.86,443,80,false,SEA,North America,US,Seattle,157,0.00
34.36.237.86,80,80,false,SIN,Asia Pacific,SG,Singapore,158,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,158,0.00
34.19.114.86,80,80,false,SEA,North America,US,Seattle,162,0.00
35.197.89.213,80,80,false,SEA,North America,US,Seattle,163,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,163,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,163,0.00
34.49.199.30,80,80,false,SIN,Asia Pacific,SG,Singapore,163,0.00
34.141.221.33,2052,80,false,AMS,Europe,NL,Amsterdam,163,0.00
34.141.248.249,2052,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.54.159.251,80,80,false,SIN,Asia Pacific,SG,Singapore,164,0.00
34.141.248.249,2087,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.141.248.249,2082,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.117.105.161,80,80,false,SIN,Asia Pacific,SG,Singapore,165,0.00
34.141.248.249,2083,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.141.221.33,2087,80,false,AMS,Europe,NL,Amsterdam,167,0.00
34.141.248.249,2086,80,false,AMS,Europe,NL,Amsterdam,167,0.00
35.187.41.171,2083,80,false,CDG,Europe,FR,Paris,167,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,168,0.00
