IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.89.30.78,443,443,true,LHR,Europe,GB,London,268,5.27
34.142.5.107,443,443,true,LHR,Europe,GB,London,404,5.20
34.105.233.161,443,443,true,LHR,Europe,GB,London,186,5.17
34.105.130.188,443,443,true,LHR,Europe,GB,London,467,4.89
34.105.233.161,443,443,true,LHR,Europe,GB,London,435,4.84
35.197.239.137,443,443,true,LHR,Europe,GB,London,299,4.83
34.89.91.99,443,443,true,LHR,Europe,GB,London,254,4.80
34.105.189.25,443,443,true,LHR,Europe,GB,London,288,4.79
35.246.97.251,443,443,true,LHR,Europe,GB,London,360,4.73
34.41.252.92,443,443,true,ORD,North America,US,Chicago,323,2.83
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,613,0.62
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,515,0.39
35.187.229.127,80,8080,false,SIN,Asia Pacific,SG,Singapore,5,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,19,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,50,0.00
34.131.59.243,443,80,false,DEL,Asia Pacific,IN,New Delhi,66,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,77,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,77,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,97,0.00
34.111.103.7,80,80,false,SIN,Asia Pacific,SG,Singapore,103,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,107,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,111,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,111,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,118,0.00
35.200.100.7,8080,80,false,NRT,Asia Pacific,JP,Tokyo,124,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,124,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,126,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,131,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,133,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,140,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,151,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,153,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,153,0.00
34.19.114.86,80,80,false,SEA,North America,US,Seattle,157,0.00
