IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,286,6.21
34.105.130.188,443,443,true,LHR,Europe,GB,London,276,5.43
35.197.239.137,443,443,true,LHR,Europe,GB,London,180,5.36
34.105.189.25,443,443,true,LHR,Europe,GB,London,200,5.16
34.105.140.105,443,443,true,LHR,Europe,GB,London,308,5.12
34.89.91.99,443,443,true,LHR,Europe,GB,London,178,5.11
34.105.233.161,443,443,true,LHR,Europe,GB,London,190,5.03
34.105.189.25,443,443,true,LHR,Europe,GB,London,299,4.72
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,425,0.80
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,425,0.49
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,466,0.46
35.187.229.127,80,8080,false,SIN,Asia Pacific,SG,Singapore,31,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,36,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,39,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,46,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,64,0.00
34.131.59.243,443,80,false,DEL,Asia Pacific,IN,New Delhi,65,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,73,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,75,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,75,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,83,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,88,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,91,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,97,0.00
34.54.159.251,80,80,false,SIN,Asia Pacific,SG,Singapore,105,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,106,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,109,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,109,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,113,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,SG,Singapore,115,0.00
34.111.103.7,80,80,false,SIN,Asia Pacific,SG,Singapore,115,0.00
34.54.241.45,80,80,false,SIN,Asia Pacific,SG,Singapore,117,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,117,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,125,0.00
34.111.103.7,80,80,false,SIN,Asia Pacific,SG,Singapore,131,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,141,0.00
34.49.1.210,80,80,false,SIN,Asia Pacific,SG,Singapore,147,0.00
34.36.237.86,80,80,false,SIN,Asia Pacific,SG,Singapore,151,0.00
34.149.177.121,80,80,false,SIN,Asia Pacific,SG,Singapore,157,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,159,0.00
34.19.114.86,443,80,false,SEA,North America,US,Seattle,161,0.00
34.19.114.86,80,80,false,SEA,North America,US,Seattle,162,0.00
34.141.248.249,2087,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.49.82.120,80,80,false,SIN,Asia Pacific,SG,Singapore,165,0.00
34.141.248.249,2095,80,false,AMS,Europe,NL,Amsterdam,166,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,166,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,166,0.00
34.141.248.249,2052,80,false,AMS,Europe,NL,Amsterdam,166,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,166,0.00
34.141.221.33,2087,80,false,AMS,Europe,NL,Amsterdam,168,0.00
34.141.248.249,2083,80,false,AMS,Europe,NL,Amsterdam,169,0.00
34.19.114.86,443,80,false,SEA,North America,US,Seattle,169,0.00
35.247.124.181,80,80,false,SEA,North America,US,Seattle,170,0.00
35.197.89.213,80,80,false,SEA,North America,US,Seattle,172,0.00
34.141.221.33,2086,80,false,AMS,Europe,NL,Amsterdam,172,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,172,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,173,0.00
34.141.221.33,2053,80,false,AMS,Europe,NL,Amsterdam,173,0.00
35.187.41.171,2083,80,false,CDG,Europe,FR,Paris,174,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,175,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,175,0.00
34.141.248.249,2053,80,false,AMS,Europe,NL,Amsterdam,178,0.00
34.141.221.33,2096,80,false,AMS,Europe,NL,Amsterdam,181,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,187,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,188,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,191,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,192,0.00
34.117.105.161,80,80,false,SIN,Asia Pacific,SG,Singapore,193,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,205,0.00
34.19.114.86,80,80,false,SEA,North America,US,Seattle,205,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,205,0.00
34.141.248.249,2096,80,false,AMS,Europe,NL,Amsterdam,205,0.00
35.232.39.116,80,80,false,ORD,North America,US,Chicago,207,0.00
34.141.221.33,2083,80,false,AMS,Europe,NL,Amsterdam,210,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,213,0.00
34.141.221.33,2095,80,false,AMS,Europe,NL,Amsterdam,213,0.00
34.141.248.249,2086,80,false,AMS,Europe,NL,Amsterdam,214,0.00
34.141.221.33,2052,80,false,AMS,Europe,NL,Amsterdam,214,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,215,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,216,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,217,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,217,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,217,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,217,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,218,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,219,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,220,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,220,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,220,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,221,0.00
104.196.221.253,80,80,false,IAD,North America,US,Ashburn,221,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,223,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,223,0.00
34.141.221.33,2082,80,false,AMS,Europe,NL,Amsterdam,226,0.00
34.89.209.94,80,80,false,FRA,Europe,DE,Frankfurt,227,0.00
34.89.209.94,80,80,false,FRA,Europe,DE,Frankfurt,228,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,228,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,228,0.00
34.79.212.119,8080,80,false,CDG,Europe,FR,Paris,229,0.00
34.79.212.119,8080,80,false,CDG,Europe,FR,Paris,229,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,235,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,236,0.00
34.141.248.249,2082,80,false,AMS,Europe,NL,Amsterdam,237,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,238,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,247,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,250,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,256,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,259,0.00
34.89.209.94,80,80,false,FRA,Europe,DE,Frankfurt,266,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,269,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,271,0.00
